,treatment,replicate,population,mass,coverage,time
,C,1,10,0.18g,8%,1
,C,2,10,0.16g,8%,1
,C,3,10,0.07g,8%,1
,C,4,10,0.08g,8%,1
,L,1,10,0.11g,8%,1
,L,2,10,0.13g,8%,1
,L,3,10,0.14g,8%,1
,L,4,10,0.17g,8%,1
,H,1,10,0.16g,8%,1
,H,2,10,0.25g,8%,1
,H,3,10,0.15g,8%,1
,H,4,10,0.13g,8%,1
,C,1,12,0.19g,13%,2
,C,2,19,0.36g,15%,2
,C,3,18,0.19g,13%,2
,C,4,14,0.24g,11%,2
,L,1,28,0.58g,26%,2
,L,2,34,0.55g,32%,2
,L,3,32,0.71g,30%,2
,L,4,29,0.56g,27%,2
,H,1,30,0.59g,21%,2
,H,2,34,0.42g,20%,2
,H,3,28,0.45g,19%,2
,H,4,32,0.35g,15%,2
,C,1,28,0.20g,12%,3
,C,2,42,0.44g,18%,3
,C,3,22,0.19g,13%,3
,C,4,27,0.24g,13%,3
,L,1,48,0.48g,30%,3
,L,2,54,0.69g,38%,3
,L,3,60,0.75g,34%,3
,L,4,56,0.58g,38%,3
,H,1,67,0.63,41%,3
,H,2,34,0.46g,31%,3
,H,3,56,0.54g,34%,3
,H,4,57,0.44g,34%,3
,C,1,30,0.39g,15%,4
,C,2,49,0.54g,21%,4
,C,3,31,0.24g,12%,4
,C,4,26,0.31g,13%,4
,L,1,51,0.88g,41%,4
,L,2,52,1.05g,39%,4
,L,3,62,1.32g,40%,4
,L,4,48,1.14g,36%,4
,H,1,81,1.63g,41%,4
,H,2,32,0.77g,21%,4
,H,3,69,1.51g,48%,4
,H,4,67,1.12g,37%,4
,C,1,37,0.55g,21%,5
,C,2,45,0.84g,25%,5
,C,3,35,0.39g,13%,5
,C,4,26,0.43g,15%,5
,L,1,66,1.51g,49%,5
,L,2,70,1.58g,45%,5
,L,3,64,1.97g,51%,5
,L,4,71,2.14g,56%,5
,H,1,122,2.73g,88%,5
,H,2,50,1.74g,43%,5
,H,3,120,3.40g,94%,5
,H,4,93,3.09g,49%,5
,C,1,33,0.54g,20%,6
,C,2,56,0.73g,30%,6
,C,3,44,0.44g,13%,6
,C,4,30,0.41g,15%,6
,L,1,82,1.92g,41%,6
,L,2,85,2.03g,46%,6
,L,3,91,2.47g,52%,6
,L,4,90,2.42g,56%,6
,H,1,135,2.95g,71%,6
,H,2,66,1.53g,41%,6
,H,3,180,3.40g,98%,6
,H,4,151,3.22g,85%,6
