Week,Treatment,Pop size,Mass (g),% cover
0,C,10,0,
0,L,10,0,
0,H,10,0,
1,C,13,0,
1,L,14,0,
1,H,32,0,
2,C,24,0,
2,L,27,0,
2,H,54,0.1,
3,C,25,0,
3,L,54,0.1,
3,H,164,0.44,
4,C,12,0,
4,L,83,0.31,
4,H,230,1.53,
5,C,5,0
5,L,144,0.28
5,H,280,2.39
0,C,10,0
0,L,10,0
0,H,10,0
1,C,13,0
1,L,17,0
1,H,18,0
2,C,24,0
2,L,45,0
2,H,34,0
3,C,27,0
3,L,109,0.3
3,H,102,0.3
4,C,25,0
4,L,159,0.65
4,H,150,1.4
5,C,33,0
5,L,207,0.65
5,H,280,2.09
0,C,10,0
0,L,10,0
0,H,10,0
1,C,11,0
1,L,20,0
1,H,20,0
2,C,17,0
2,L,44,0
2,H,55,0.1
3,C,28,0
3,L,92,0.23
3,H,169,0.46
4,C,23,0
4,L,149,0.62
4,H,260,1.6
5,C,21,0
5,L,186,0.6
5,H,280,2.7
0,C,10,0
0,L,10,0
0,H,10,0
1,C,12,0
1,L,19,0
1,H,21,0
2,C,18,0
2,L,46,0
2,H,59,0.1
3,C,23,0
3,L,84,0.2
3,H,186,0.5
4,C,24,0
4,L,125,0.5
4,H,250,1.59
5,C,22,0
5,L,172,0.4
5,H,280,2.68
