time,treatment,population,Mass (g),% cover,
0,C,10,0,0,
0,L,10,0,0,
0,H,10,0,0,
1,C,13,0,0,
1,L,14,0,0,R1
1,H,32,0,0,
2,C,24,0,10,
2,L,27,0,14,
2,H,54,0.1,15,
3,C,25,0,12,
3,L,54,0.1,15,
3,H,164,0.44,45,
4,C,12,0,10,
4,L,83,0.31,30,
4,H,230,1.53,95,
5,C,5,0,0,
5,L,144,0.28,50,
5,H,280,2.39,100,
6,C,1,0,0,
6,L,150,0.43,50,
6,H,300,2.72,100,
0,C,10,0,0,
0,L,10,0,0,
0,H,10,0,0,
1,C,13,0,0,R2
1,L,17,0,0,
1,H,18,0,0,
2,C,24,0,10,
2,L,45,0,14,
2,H,34,0,12,
3,C,27,0,14,
3,L,109,0.3,32
3,H,102,0.3,38
4,C,25,0,14
4,L,159,0.65,53
4,H,150,1.4,50
5,C,33,0,0
5,L,207,0.65,70
5,H,280,2.09,100
6,C,15,0,0
6,L,220,1.42,80
6,H,300,2.52,100
0,C,10,0,0
0,L,10,0,0
0,H,10,0,0
1,C,11,0,0
1,L,20,0,0
1,H,20,0,0,
2,C,17,0,10,
2,L,44,0,14,R3
2,H,55,0.1,20,
3,C,28,0,14,
3,L,92,0.23,30,
3,H,169,0.46,50,
4,C,23,0,14,
4,L,149,0.62,50,
4,H,260,1.6,100,
5,C,21,0,0,
5,L,186,0.6,65,
5,H,280,2.7,100,
6,C,12,0,0,
6,L,190,0.77,65,
6,H,300,4.11,100,
0,C,10,0,0,
0,L,10,0,0,
0,H,10,0,0,
1,C,12,0,0,
1,L,19,0,0,
1,H,21,0,0,
2,C,18,0,10,
2,L,46,0,14,R4
2,H,59,0.1,20,
3,C,23,0,10,
3,L,84,0.2,30,
3,H,186,0.5,60,
4,C,24,0,14,
4,L,125,0.5,45,
4,H,250,1.59,100,
5,C,22,0,0,
5,L,172,0.4,53
5,H,280,2.68,100
6,C,16,0,0
6,L,217,0.5,78
6,H,300,4.77,100
