time,treatment,population
0,C,10
0,C,10
0,C,10
0,C,10
0,L,10
0,L,10
0,L,10
0,L,10
0,H,10
0,H,10
0,H,10
0,H,10
1,C,10
1,C,10
1,C,10
1,C,10
1,L,10
1,L,10
1,L,10
1,L,10
1,H,10
1,H,10
1,H,10
1,H,10
2,C,12
2,C,12
2,C,13
2,C,16
2,L,14
2,L,15
2,L,15
2,L,17
2,H,20
2,H,12
2,H,18
2,H,17
3,C,15
3,C,16
3,C,16
3,C,18
3,L,17
3,L,17
3,L,17
3,L,23
3,H,34
3,H,2
3,H,33
3,H,25
4,C,18
4,C,17
4,C,21
4,C,24
4,L,26
4,L,23
4,L,23
4,L,34
4,H,64
4,H,0
4,H,69
4,H,49
5,C,19
5,C,21
5,C,21
5,C,33
5,L,34
5,L,33
5,L,27
5,L,45
5,H,108
5,H,0
5,H,120
5,H,93
6,C,24
6,C,21
6,C,23
6,C,28
6,L,47
6,L,38
6,L,31
6,L,45
6,H,162
6,H,0
6,H,160
6,H,148
